eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Titan,FALSE,1221865,1186680,1257060,0.0292,0.33,1.88,0,0,2575,0,0,0,NA,15.95,382.8,25/03/1655,1.35E+023,NA,Secondary,Saturn,NA,NA,NA,0.572008364262828,102.961505567309,1.36744316784359E-05,7.10526315789473E-05,0.008167663044151,1.20095462154582E+025
Hyperion,FALSE,1500934,1466112,1535756,0.1042,0.43,0.55,0,0,266,0,0,0,328x260x214,21.28,0,16/09/1848,5.6E+018,NA,Secondary,Saturn,NA,NA,NA,0.464116343556745,83.5409418402142,1.45921099118018E-07,2.94736842105263E-09,0.010033124087775,3.30144536446804E+020
Iapetus,FALSE,3560851,3460068,3661612,0.0283,14.72,1.09,0,0,1471.2,0,0,0,NA,79.33,1735.92,25/10/1671,1.81E+021,NA,Secondary,Saturn,NA,NA,NA,0.195968098637095,35.2742577546772,4.46373343388825E-06,9.52631578947368E-07,0.023802818738917,1.89587740486541E+022
Phoebe,FALSE,12947913,0,0,0.164,174.8,1.64,0,0,214.4,0,0,0,230x220x210,548.2,9.2736,17/03/1899,8.29E+018,NA,Secondary,Saturn,NA,NA,NA,0.053796808798453,9.68342558372149,9.47991363948448E-08,4.36315789473684E-09,0.086551452500052,6.56741202837034E+018
Janus,FALSE,151460,0,0,0.007,0.14,0.63,0,0,33,0,0,0,195x194x152,0.7,0,15/12/1966,1.9E+018,NA,Secondary,Saturn,NA,NA,NA,4.5977485804833,827.594744486993,2.24586009581551E-09,1E-09,0.001012447565539,1.10001086480254E+022
Epimetheus,FALSE,151410,0,0,0.009,0.34,0.64,0,0,113.4,0,0,0,116x117x106,0.69,0,18/12/1966,5.3E+017,NA,Secondary,Saturn,NA,NA,NA,4.59979789974242,827.963621953636,2.65204523909507E-08,2.78947368421053E-10,0.001012113336183,3.07047827867793E+021
Helene,FALSE,377420,0,0,0.005,0,1.3,0,0,33,0,0,0,39x37x25,2.74,0,01/03/1980,2.4E+016,NA,Secondary,Saturn,NA,NA,NA,1.84509299984103,332.116739971385,2.24586009581551E-09,1.26315789473684E-11,0.002522896871687,2.23769401269857E+019
Telesto,FALSE,294710,0,0,0.001,1.158,1,0,0,33,0,0,0,30x23x14,1.89,0,08/04/1980,1E+016,NA,Secondary,Saturn,NA,NA,NA,2.36291608700078,425.324895660141,2.24586009581551E-09,5.26315789473684E-12,0.001970014670804,1.52914804514995E+019
Calypso,FALSE,294710,0,0,0.001,1.473,1,0,0,33,0,0,0,31x24x21,1.89,0,13/03/1980,6500000000000000,NA,Secondary,Saturn,NA,NA,NA,2.36291608700078,425.324895660141,2.24586009581551E-09,3.42105263157895E-12,0.001970014670804,9.93946229347469E+018
Atlas,FALSE,137670,0,0,0,0.3,0.5,0,0,33,0,0,0,42x36x18,0.602,0,12/11/1980,7000000000000000,NA,Secondary,Saturn,NA,NA,NA,5.05829156679015,910.492482022227,2.24586009581551E-09,3.68421052631579E-12,0.000920267109123,4.90522229932336E+019
